"STATION","NAME","DATE","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFM","WESD","WSF2","WSF5","WSFM","WT01","WT02","WT05","WT07","WT08","WT09","WT13","WT16","WT18","WT19"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-01","   10",,,,"0.00","   81","0.0","0.0",,"65","42","  486",,,"  225",,,,"6.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-02","    0",,,,"0.00","   99","0.0","0.0",,"64","40","  588",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-03","   40",,,,"0.00","   97","0.0","0.0",,"67","40","  576",,,"  270",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-04","   20",,,,"0.00","   97","0.0","0.0",,"61","39","  582",,,"  180",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-05","   40",,,,"0.00","   89","0.0","0.0",,"64","42","  534",,,"   45",,,,"8.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-06","   20",,,,"0.00","   89","0.0","0.0",,"69","42","  534",,,"   45",,,,"8.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-07","   70",,,,"0.00","   66","0.0","0.0",,"70","52","  396",,,"  315",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-08","   80",,,,"0.00","   79","0.0","0.0",,"67","47","  474",,,"  180",,,,"6.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-09","  100",,,,"0.42","    9","0.0","0.0",,"64","48","   54",,,"  135",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-10","   70",,,,"0.11","   33","0.0","0.0",,"64","49","  204",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-11","  100",,,,"0.10","    0","0.0","0.0",,"57","54","    0",,,"   90",,,,"6.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-12","   90",,,,"0.02","   13","0.0","0.0",,"65","54","   78",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-13","  100",,,,"0.00","   23","0.0","0.0",,"64","55","  138",,,"  225",,,,"6.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-14","  100",,,,"0.22","    0","0.0","0.0",,"58","56","    0",,,"   90",,,,"4.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-15","  100",,,,"0.07","    0","0.0","0.0",,"64","56","    0",,,"  225",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-16","  100",,,,"0.65","    0","0.0","0.0",,"60","56","    0",,,"   90",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-17","   40",,,,"0.00","   82","0.0","0.0",,"67","56","  504",,,"  315",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-18","   90",,,,"0.00","   29","0.0","0.0",,"65","52","  180",,,"  270",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-19","   90",,,,"0.00","   32","0.0","0.0",,"65","55","  198",,,"  225",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-20","   90",,,,"0.00","    0","0.0","0.0",,"67","56","    0",,,"  270",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-21","  100",,,,"0.00","    0","0.0","0.0",,"60","52","    0",,,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-22","  100",,,,"0.00","    0","0.0","0.0",,"64","55","    0",,,"  225",,,,"4.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-23","   90",,,,"0.00","   26","0.0","0.0",,"69","51","  162",,,"  225",,,,"8.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-24","  100",,,,"0.00","    3","0.0","0.0",,"62","55","   18",,,"  225",,,,"8.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-25","   80",,,,"0.00","   63","0.0","0.0",,"67","54","  390",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-26","    0",,,,"0.00","   61","0.0","0.0",,"68","50","  378",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-27","  100",,,,"0.00","    0","0.0","0.0",,"61","53","    0",,,"  225",,,,"6.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-01-28","    0",,,,"0.00","   70","0.0","0.0",,"73","45","  438",,,"  225",,,,"8.1",,,,,,,,,,
